<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.08.21	03:29:00	1.11315	1.11318	1.11314	1.11317	12	0	4
2024.08.21	03:30:00	1.11317	1.11320	1.11313	1.11315	26	0	4
2024.08.21	03:31:00	1.11316	1.11324	1.11316	1.11319	20	0	4
2024.08.21	03:32:00	1.11319	1.11325	1.11319	1.11320	20	0	4
2024.08.21	03:33:00	1.11321	1.11322	1.11304	1.11315	31	0	4
2024.08.21	03:34:00	1.11315	1.11315	1.11297	1.11297	22	0	4
2024.08.21	03:35:00	1.11297	1.11297	1.11294	1.11294	14	0	4
2024.08.21	03:36:00	1.11295	1.11304	1.11294	1.11299	26	0	4
2024.08.21	03:37:00	1.11299	1.11308	1.11297	1.11305	33	0	4
2024.08.21	03:38:00	1.11304	1.11305	1.11288	1.11289	26	0	4
2024.08.21	03:39:00	1.11289	1.11294	1.11282	1.11282	24	0	4
2024.08.21	03:40:00	1.11281	1.11281	1.11279	1.11279	14	0	4
2024.08.21	03:41:00	1.11281	1.11284	1.11279	1.11282	18	0	4
2024.08.21	03:42:00	1.11283	1.11288	1.11283	1.11284	11	0	4
2024.08.21	03:43:00	1.11284	1.11284	1.11278	1.11279	14	0	4
2024.08.21	03:44:00	1.11279	1.11281	1.11274	1.11274	12	0	4
2024.08.21	03:45:00	1.11274	1.11274	1.11254	1.11255	23	0	4
2024.08.21	03:46:00	1.11257	1.11264	1.11257	1.11259	21	0	4
2024.08.21	03:47:00	1.11259	1.11267	1.11258	1.11266	23	0	4
2024.08.21	03:48:00	1.11265	1.11268	1.11263	1.11265	20	0	4
2024.08.21	03:49:00	1.11265	1.11265	1.11258	1.11259	11	0	4
2024.08.21	03:50:00	1.11259	1.11268	1.11258	1.11265	17	0	4
2024.08.21	03:51:00	1.11265	1.11268	1.11257	1.11261	24	0	4
2024.08.21	03:52:00	1.11261	1.11266	1.11259	1.11265	22	0	4
2024.08.21	03:53:00	1.11264	1.11272	1.11264	1.11271	20	0	4
2024.08.21	03:54:00	1.11271	1.11271	1.11255	1.11255	25	0	4
2024.08.21	03:55:00	1.11255	1.11261	1.11255	1.11260	25	0	4
2024.08.21	03:56:00	1.11259	1.11272	1.11254	1.11272	31	0	4
2024.08.21	03:57:00	1.11273	1.11273	1.11269	1.11271	15	0	4
2024.08.21	03:58:00	1.11271	1.11272	1.11268	1.11272	16	0	4
2024.08.21	03:59:00	1.11272	1.11279	1.11270	1.11276	21	0	4
2024.08.21	04:00:00	1.11276	1.11277	1.11265	1.11270	23	0	4
2024.08.21	04:01:00	1.11270	1.11271	1.11264	1.11268	24	0	4
2024.08.21	04:02:00	1.11268	1.11269	1.11260	1.11267	22	0	4
2024.08.21	04:03:00	1.11267	1.11273	1.11267	1.11273	11	0	4
2024.08.21	04:04:00	1.11274	1.11279	1.11270	1.11275	18	0	4
